idProducto	tiempo
10120	340
14227	175
13650	106
14107	100
14100	304
12797	380
12615	171
10219	475
14158	366
13245	50
12838	195
11726	279
11112	148
10778	352
11089	320
14893	436
13742	189
12606	413
12589	312
12615	471
12670	262
12694	34
11387	70
12998	428
12388	369
14734	284
14084	252
12219	308
10128	406
10810	203
12485	431
12447	408
13430	147
12922	33
11633	259
11016	419
10640	393
10611	324
14246	371
12615	255
13429	120
10862	89
14159	333
12264	172
10772	380
11736	38
12615	154
11562	53
11978	407
14549	402
12653	106
12905	483
11502	110
11770	295
13589	239
11950	495
12615	284
12912	54
12281	282
12238	366
12918	134
14521	103
11120	45
11952	473
12594	357
14813	23
12320	247
12903	261
12615	103
13326	417
11892	147
11702	170
11849	306
14112	209
12615	385
13143	189
14520	269
14967	108
11038	220
10598	121
11388	77
10307	36
11962	90
10278	376
13465	215
12813	15
13292	224
13216	215
11402	241
14074	280
13749	63
14254	470
12615	338
11195	236
12955	78
13183	309
10727	196
11941	328
12170	168
11473	162
14964	150
14820	78
12006	458
14927	154
11602	37
12230	314
11815	52
11305	320
12615	483
10038	322
11714	337
12192	279
13106	303
12615	77
12329	241
13600	221
12433	311
12853	222
11960	303
12615	128
11870	306
13769	93
13659	59
12640	462
13221	413
10069	257
11916	33
11246	314
12375	168
12615	497
14369	122
10995	21
13919	356
10082	159
11848	52
12147	269
11473	220
14936	454
14482	233
12872	14
10026	446
13645	439
10192	452
10643	217
13785	248
11494	13
12615	123
13152	354
12875	91
11838	237
10302	59
14162	21
12793	293
14192	24
11306	51
14575	498
12933	430
14757	120
13057	474
11237	345
14138	485
10185	130
12615	202
12877	364
